ID;Descripcion;Tipo;Ubicacion;CGM;Lon;Lat
FIO49;"Tipo: FIJA
Ubicacion: PERON Y BARADERO";FIJA;PERON Y BARADERO;FIORITO;-58.454145;-34.710747
FIO50;"Tipo: FIJA
Ubicacion: ROBERTO ART E ISLANDIA";FIJA;ROBERTO ART E ISLANDIA;FIORITO;-58.440457;-34.7168199
FIO51;"Tipo: DOMO
Ubicacion: MERCADO LOMAS";DOMO;MERCADO LOMAS;FIORITO;-58.453485;-34.706875
FIO52;"Tipo: DOMO
Ubicacion: ECOPUNTO";DOMO;ECOPUNTO;FIORITO;-58.4534754;-34.6997586
FIO54a;"Tipo: FIJA
Ubicacion: FIGUEREDO Y MIRO";FIJA;FIGUEREDO Y MIRO;FIORITO;-58.452159;-34.708171
FIO15a;"Tipo: FIJA
Ubicacion: MIRO Y BARADERO ISDF 103";FIJA;MIRO Y BARADERO ISDF 103;FIORITO;-58.451309;-34.709448
FIO16a;"Tipo: FIJA
Ubicacion: AYOLAS Y PIO BAROJA SEC56";FIJA;AYOLAS Y PIO BAROJA SEC56;FIORITO;-58.446606;-34.713675
FIO54;"Tipo: FIJA
Ubicacion: FIGUEREDO Y MIRO";FIJA;FIGUEREDO Y MIRO;FIORITO;-58.452262;-34.708227
FIO55;"Tipo: FIJA
Ubicacion: AZAMOR 297 ESC79";FIJA;AZAMOR 297 ESC79;FIORITO;-58.443276;-34.701218
FIO57a;"Tipo: FIJA
Ubicacion: ISLANDIA 654 ESC";FIJA;ISLANDIA 654 ESC;FIORITO;-58.436903;-34.714979
FIO57b;"Tipo: FIJA
Ubicacion: ISLANDIA 654 ESC";FIJA;ISLANDIA 654 ESC;FIORITO;-58.436855;-34.714984
FIO57;"Tipo: FIJA
Ubicacion: ISLANDIA 654 ESC";FIJA;ISLANDIA 654 ESC;FIORITO;-58.436957;-34.714988
FIO58a;"Tipo: FIJA
Ubicacion: PERON Y FIGUEREDO ATRAS";FIJA;PERON Y FIGUEREDO ATRAS;FIORITO;-58.455311;-34.709912
FIO58;"Tipo: FIJA
Ubicacion: PERON Y FIGUEREDO ENTRADA";FIJA;PERON Y FIGUEREDO ENTRADA;FIORITO;-58.455344;-34.709881
FIO32c;"Tipo: FIJA
Ubicacion: LA RIVERA Y LARRAZABAL";FIJA;LA RIVERA Y LARRAZABAL;FIORITO;-58.449987;-34.693324
FIO32b;"Tipo: FIJA
Ubicacion: LA RIVERA Y LARRAZABAL";FIJA;LA RIVERA Y LARRAZABAL;FIORITO;-58.450196;-34.693417
FIO07;"Tipo: FIJA
Ubicacion: PERON Y CANADA";FIJA;PERON Y CANADA;FIORITO;-58.447998;-34.718581
FIO12;"Tipo: FIJA
Ubicacion: PLUMERILLO Y EJERCITO DE LOS ANDES";FIJA;PLUMERILLO Y EJERCITO DE LOS ANDES;FIORITO;-58.4328458;-34.7161089
FIO23;"Tipo: FIJA
Ubicacion: MURATURE Y PILCOMAYO";FIJA;MURATURE Y PILCOMAYO;FIORITO;-58.440314;-34.705265
FIO39;"Tipo: FIJA
Ubicacion: UPA24 PERON COLECTORA A CAP";FIJA;UPA24 PERON COLECTORA A CAP;FIORITO;-58.450434;-34.715272
FIO03b;"Tipo: FIJA
Ubicacion: ECOPUNTO";FIJA;ECOPUNTO;FIORITO;-58.4547816;-34.699059
FIO49b;"Tipo: FIJA
Ubicacion: PERON Y BARADERO";FIJA;PERON Y BARADERO;FIORITO;-58.454068;-34.710859
FIO50b;"Tipo: FIJA
Ubicacion: ROBERTO ART E ISLANDIA";FIJA;ROBERTO ART E ISLANDIA;FIORITO;-58.4405221;-34.716766
FIO01c;"Tipo: FIJA
Ubicacion: PERON Y RECONDO";FIJA;PERON Y RECONDO;FIORITO;-58.451198;-34.71483
FIO01d;"Tipo: FIJA
Ubicacion: PERON Y RECONDO";FIJA;PERON Y RECONDO;FIORITO;-58.451205;-34.71485
FIO41b;"Tipo: FIJA
Ubicacion: HORNOS Y RIVERA SUR";FIJA;HORNOS Y RIVERA SUR;FIORITO;-58.446682;-34.689349
FIO53;"Tipo: FIJA
Ubicacion: ECO PUNTO FONDO";FIJA;ECO PUNTO FONDO;FIORITO;-58.453046;-34.7001874
FIO56;"Tipo: FIJA
Ubicacion: CAMPANA 524 E79";FIJA;CAMPANA 524 E79;FIORITO;-58.442341;-34.705734
FIO21;RECONDO Y DARWIN ;;;FIORITO;-58.4353662;-34.7061691
FIO59;FIGUEREDO Y UNAMUNO - FIJA ;;;FIORITO;-58.4492226;-34.7064748
FIO65;;;HORNOS Y DEFENSA;FIORITO;-58.4432667;-34.6937508
FIO65A;;;HORNOS Y DEFENSA;FIORITO;-58.4433257;-34.6936913
FIO60;;;LA ROSA Y BIBERA;FIORITO;-58.4523872;-34.6961952
FIO61;;;PARQUE SOLAR;FIORITO;-58.4520117;-34.6962349
FIO62;;;PARQUE SOLAR;FIORITO;-58.4518615;-34.6963584
FIO62A;;;PARQUE SOLAR;FIORITO;-58.4524945;-34.6966142
FIO62B;;;PARQUE SOLAR;FIORITO;-58.4523657;-34.6967112
FIO63;;;PARQUE SOLAR;FIORITO;-58.4521297;-34.696623
FIO63A;;;PARQUE SOLAR;FIORITO;-58.4518507;-34.6964642
FIO66;;;HORNOS Y BARADERO;FIORITO;-58.4372114;-34.7016743
FIO66A;;;Avenida General Hornos & Baradero;FIORITO;-58.4371765;-34.7017007
FIO67;;;Larrazabal & Baradero;FIORITO;-58.4401701;-34.7030991
FIO67A;;;Larrazabal & Baradero;FIORITO;-58.4401969;-34.7030672
FIO68;;;Camino de la Ribera Sur & Doctor José María Rosa;FIORITO;-58.4487135;-34.6915592
FIO68A;;;RIBERA Y ROSAS;FIORITO;-58.4486786;-34.6915217
FIO70;;;Quesada & Larrazabal;FIORITO;-58.4356867;-34.709173
FIO64;;;Hornos & Azamor;FIORITO;-58.4391475;-34.699206
FIO64A;;;HORNOS Y AZAMOR;FIORITO;-58.4390747;-34.6991892
FIO71;;;Benito Pérez Galdós & Roberto Arlt;FIORITO;-58.4482987;-34.70936
FIO71A;;;BENITO PEREZ GALDOS Y ART;FIORITO;-58.4482424;-34.7092717
FIO69;;;Quesada & Miguel de Unamuno;FIORITO;-58.4426371;-34.7130286
FIO69A;;;ART Y UNAMUNO;FIORITO;-58.442713;-34.7130815
BUD07;"Tipo: DOMO
Ubicacion: VIRGILIO Y CANADA";DOMO;VIRGILIO Y CANADA;LAMADRID;-58.465741;-34.727717
BUD14;"Tipo: DOMO
Ubicacion: CAMINO RE LA RIVERA Y VIRGILIO";DOMO;CAMINO RE LA RIVERA Y VIRGILIO;LAMADRID;-58.4744187;-34.7191198
BUD15;"Tipo: DOMO
Ubicacion: RIBERA SUR Y NEWTON";DOMO;RIBERA SUR Y NEWTON;LAMADRID;-58.479228;-34.723551
BUD18;"Tipo: DOMO
Ubicacion: ORAN Y VUCETICH";DOMO;ORAN Y VUCETICH;LAMADRID;-58.479034;-34.727982
BUD20;"Tipo: DOMO
Ubicacion: IPARRAGUIRRE Y METAN";DOMO;IPARRAGUIRRE Y METAN;LAMADRID;-58.473777;-34.727426
BUD22;"Tipo: DOMO
Ubicacion: EPECUEN Y TUYUTI";DOMO;EPECUEN Y TUYUTI;LAMADRID;-58.47471;-34.733184
BUD26;"Tipo: DOMO
Ubicacion: EPECUEN Y NEWTON";DOMO;EPECUEN Y NEWTON;LAMADRID;-58.472693;-34.732443
BUD16;"Tipo: FIJA
Ubicacion: RIBERA SUR Y NEWTON";FIJA;RIBERA SUR Y NEWTON;LAMADRID;-58.479103;-34.723691
BUD32;"Tipo: DOMO
Ubicacion: VIRGILIO Y TILCARA";DOMO;VIRGILIO Y TILCARA;LAMADRID;-58.47359;-34.719626
BUD33;"Tipo: DOMO
Ubicacion: RIVERA Y EUSKADI";DOMO;RIVERA Y EUSKADI;LAMADRID;-58.476319;-34.721068
BUD34;"Tipo: DOMO
Ubicacion: ANDRES BELLO Y LA RIVERA";DOMO;ANDRES BELLO Y LA RIVERA;LAMADRID;-58.471427;-34.71635
BUD35;"Tipo: DOMO
Ubicacion: PERGAMINO E IPARRAGUIRRE";DOMO;PERGAMINO E IPARRAGUIRRE;LAMADRID;-58.476577;-34.724296
BUD37;"Tipo: DOMO
Ubicacion: NEWTON Y LIMAY";DOMO;NEWTON Y LIMAY;LAMADRID;-58.475107;-34.729057
BUD65a;"Tipo: FIJA
Ubicacion: ORAN 599 ESC 49";FIJA;ORAN 599 ESC 49;LAMADRID;-58.4751015;-34.7258234
BUD65B;"Tipo: FIJA
Ubicacion: ORAN 599 ESC 49";FIJA;ORAN 599 ESC 49;LAMADRID;-58.475158;-34.7258458
BUD17;"Tipo: FIJA
Ubicacion: RIBERA SUR Y NEWTON";FIJA;RIBERA SUR Y NEWTON;LAMADRID;-58.479134;-34.72365
BUD32b;"Tipo: FIJA
Ubicacion: VIRGILIO Y TILCARA";FIJA;VIRGILIO Y TILCARA;LAMADRID;-58.473574;-34.719672
BUD32c;"Tipo: FIJA
Ubicacion: VIRGILIO Y TILCARA";FIJA;VIRGILIO Y TILCARA;LAMADRID;-58.473665;-34.719633
BUD75;;;Bruselas & Juan M. de Lavardén;LAMADRID;-58.4695475;-34.7193603
BUD75A;;;BRUSELAS Y LAVARDEN;LAMADRID;-58.4695797;-34.7193802
BUD74;;;Natal & Juan M. de Lavardén;LAMADRID;-58.4712376;-34.7182246
BFD46;"Tipo: DOMO
Ubicacion: NAHUEL HUAPI  Y LYNCH";DOMO;NAHUEL HUAPI  Y LYNCH;SAN JOSE;-58.365834;-34.745139
SJO01;"Tipo: DOMO
Ubicacion: EVA PERON Y SALTA";DOMO;EVA PERON Y SALTA;SAN JOSE;-58.361392;-34.761464
SJO04;"Tipo: DOMO
Ubicacion: SALTA 300";DOMO;SALTA 300;SAN JOSE;-58.3592781;-34.7642674
SJO02;"Tipo: DOMO
Ubicacion: PLAZA SAN MARTIN";DOMO;PLAZA SAN MARTIN;SAN JOSE;-58.3570573;-34.7622485
SJO03;"Tipo: DOMO
Ubicacion: EVA PERON Y RIO NEGRO";DOMO;EVA PERON Y RIO NEGRO;SAN JOSE;-58.358549;-34.760028
SJO06;"Tipo: DOMO
Ubicacion: EVA PERON Y BAIGORRIA";DOMO;EVA PERON Y BAIGORRIA;SAN JOSE;-58.367464;-34.764408
SJO07;"Tipo: DOMO
Ubicacion: CHAJA Y HOMERO ( PZA SAN CRISTOBAL)";DOMO;CHAJA Y HOMERO ( PZA SAN CRISTOBAL);SAN JOSE;-58.344532;-34.75563
SJO08;"Tipo: DOMO
Ubicacion: ARMESTI Y PORTUGAL";DOMO;ARMESTI Y PORTUGAL;SAN JOSE;-58.363838;-34.749476
SJO09;"Tipo: DOMO
Ubicacion: EUCALIPTUS Y EVA PERON";DOMO;EUCALIPTUS Y EVA PERON;SAN JOSE;-58.362443;-34.76194
SJO11;"Tipo: DOMO
Ubicacion: PASCO Y ANATOLE FANCE";DOMO;PASCO Y ANATOLE FANCE;SAN JOSE;-58.371284;-34.766241
SJO14;"Tipo: DOMO
Ubicacion: EL TALA Y PORTUGAL";DOMO;EL TALA Y PORTUGAL;SAN JOSE;-58.359396;-34.755232
SJO23;"Tipo: DOMO
Ubicacion: MONTEROS Y EVA PERON";DOMO;MONTEROS Y EVA PERON;SAN JOSE;-58.34105;-34.750957
SJO29;"Tipo: DOMO
Ubicacion: COSTA RICA Y EL TALA";DOMO;COSTA RICA Y EL TALA;SAN JOSE;-58.355191;-34.753214
SJO32;"Tipo: DOMO
Ubicacion: EVA PERON Y CAAGUAZU";DOMO;EVA PERON Y CAAGUAZU;SAN JOSE;-58.343164;-34.7522
SJO35;"Tipo: DOMO
Ubicacion: EL TREBOL  Y NEW YORK";DOMO;EL TREBOL  Y NEW YORK;SAN JOSE;-58.36019;-34.757692
SJO36;"Tipo: DOMO
Ubicacion: MADRE SELVA Y YATAY";DOMO;MADRE SELVA Y YATAY;SAN JOSE;-58.350256;-34.749282
SJO37;"Tipo: DOMO
Ubicacion: MEXICO Y BARILARI";DOMO;MEXICO Y BARILARI;SAN JOSE;-58.351135;-34.740872
SJO38;"Tipo: DOMO
Ubicacion: 12 DE AGOSTO Y BALTAZAR";DOMO;12 DE AGOSTO Y BALTAZAR;SAN JOSE;-58.346061;-34.743795
SJO39;"Tipo: DOMO
Ubicacion: HUNGRAÑA Y EL TREBOL";DOMO;HUNGRAÑA Y EL TREBOL;SAN JOSE;-58.350062;-34.752156
TEM48;"Tipo: DOMO
Ubicacion: RAVEL Y QUILMES";DOMO;RAVEL Y QUILMES;SAN JOSE;-58.364986;-34.769626
BFD48;"Tipo: FIJA
Ubicacion: BARCELO Y EZEIZA";FIJA;BARCELO Y EZEIZA;SAN JOSE;-58.366821;-34.745597
SJO12;"Tipo: FIJA
Ubicacion: EVA PERON Y PORTUGAL";FIJA;EVA PERON Y PORTUGAL;SAN JOSE;-58.35635;-34.758838
SJO19;"Tipo: FIJA
Ubicacion: EVA PERON Y CHAJA";FIJA;EVA PERON Y CHAJA;SAN JOSE;-58.346522;-34.754042
SJO21;"Tipo: FIJA
Ubicacion: EVA PERON Y ALIPPI";FIJA;EVA PERON Y ALIPPI;SAN JOSE;-58.340149;-34.75064
SJO30;"Tipo: FIJA
Ubicacion: EVA PERON Y CAAGUAZU";FIJA;EVA PERON Y CAAGUAZU;SAN JOSE;-58.342853;-34.752041
SJO33;"Tipo: FIJA
Ubicacion: EL TALA Y CAAGUAZU";FIJA;EL TALA Y CAAGUAZU;SAN JOSE;-58.344365;-34.748357
BFD47;"Tipo: DOMO
Ubicacion: ROMA Y LYNCH";DOMO;ROMA Y LYNCH;SAN JOSE;-58.366477;-34.745615
BFD55;"Tipo: DOMO
Ubicacion: O NEILL Y ONOFRE";DOMO;O NEILL Y ONOFRE;SAN JOSE;-58.358045;-34.743296
SJO40;"Tipo: DOMO
Ubicacion: ANCHORIS Y NAZARET";DOMO;ANCHORIS Y NAZARET;SAN JOSE;-58.358688;-34.752808
SJO41;"Tipo: DOMO
Ubicacion: SAN EDUARDO  Y MADRE SELVA";DOMO;SAN EDUARDO  Y MADRE SELVA;SAN JOSE;-58.365163;-34.757511
SJO42;"Tipo: DOMO
Ubicacion: LAS CASUARINAS Y MONROE";DOMO;LAS CASUARINAS Y MONROE;SAN JOSE;-58.354783;-34.749758
SJO43;"Tipo: DOMO
Ubicacion: ARMESTI Y  CAGUAZU";DOMO;ARMESTI Y  CAGUAZU;SAN JOSE;-58.347126;-34.740817
SJO46;"Tipo: DOMO
Ubicacion: SAN CRISTOBAL Y JUAN GARAY";DOMO;SAN CRISTOBAL Y JUAN GARAY;SAN JOSE;-58.346479;-34.759516
SJO45;"Tipo: DOMO
Ubicacion: EVA PERON Y SAN CRISTOBAL";DOMO;EVA PERON Y SAN CRISTOBAL;SAN JOSE;-58.349472;-34.755514
SJO49;"Tipo: DOMO
Ubicacion: EVA PERON Y PORTUGAL";DOMO;EVA PERON Y PORTUGAL;SAN JOSE;-58.35638;-34.758849
SJO48;"Tipo: DOMO
Ubicacion: EVA PERON Y CHAJA";DOMO;EVA PERON Y CHAJA;SAN JOSE;-58.346482;-34.754018
SJO53;"Tipo: DOMO

Ubicacion: CAAGUAZU Y EL TREBOL";DOMO;CAAGUAZU Y EL TREBOL;SAN JOSE;-58.344054;-34.749318
SJO54;"Tipo: DOMO

Ubicacion: HUNGRIA Y ARMESTI";DOMO;HUNGRIA Y ARMESTI;SAN JOSE;-58.355352;-34.745121
SJO55;"Tipo: DOMO
Ubicacion: ALEMANIA Y PORTUGAL";DOMO;ALEMANIA Y PORTUGAL;SAN JOSE;-58.362164;-34.751521
SJO52;"Tipo: DOMO
Ubicacion: SAN CRITOBAL Y EL ZORZAL";DOMO;SAN CRITOBAL Y EL ZORZAL;SAN JOSE;-58.34738;-34.758309
SJO47;"Tipo: FIJA
Ubicacion: 12 DE AGOSTO Y BALTAZAR";FIJA;12 DE AGOSTO Y BALTAZAR;SAN JOSE;-58.345964;-34.743803
SJO56;"Tipo: FIJA
Ubicacion: NUEVA YORK Y MIRASOL";FIJA;NUEVA YORK Y MIRASOL;SAN JOSE;-58.359568;-34.758452
TEM78;"Tipo: FIJA
Ubicacion: REVOLUCION DE TEMPERLEY Y ANCHORENA";FIJA;REVOLUCION DE TEMPERLEY Y ANCHORENA;SAN JOSE;-58.368909;-34.759603
TEM79;"Tipo: FIJA
Ubicacion: AV. REP. ARGENTINA Y 30 DE SEPTIEMBRE";FIJA;AV. REP. ARGENTINA Y 30 DE SEPTIEMBRE;SAN JOSE;-58.3626352;-34.7732586
BFD99;"Tipo: FIJA
Ubicacion: ARMESTI Y VESPUCIO";FIJA;ARMESTI Y VESPUCIO;SAN JOSE;-58.357856;-34.746371
SJO58;"Tipo: FIJA
Ubicacion: MADRESELVA 2550 P54";FIJA;MADRESELVA 2550 P54;SAN JOSE;-58.366053;-34.757889
SJO36b;"Tipo: FIJA
Ubicacion: YATAY Y MADRESELVA SEC8";FIJA;YATAY Y MADRESELVA SEC8;SAN JOSE;-58.350269;-34.74921
SJO01b;"Tipo: FIJA
Ubicacion: EVA PERON Y SALTA";FIJA;EVA PERON Y SALTA;SAN JOSE;-58.36147;-34.761433
SJO06b;"Tipo: FIJA
Ubicacion: EVA PERON Y BAIGORRIA";FIJA;EVA PERON Y BAIGORRIA;SAN JOSE;-58.367534;-34.76443
BFD49;"Tipo: FIJA
Ubicacion: BARCELO Y EZEIZA";FIJA;BARCELO Y EZEIZA;SAN JOSE;-58.366796;-34.74559
BFD99b;"Tipo: FIJA
Ubicacion: ARMESTI Y VESPUCIO";FIJA;ARMESTI Y VESPUCIO;SAN JOSE;-58.357921;-34.746364
SJO13;"Tipo: FIJA
Ubicacion: EVA PERON Y PORTUGAL";FIJA;EVA PERON Y PORTUGAL;SAN JOSE;-58.356357;-34.758853
SJO20;"Tipo: FIJA
Ubicacion: EVA PERON Y CHAJA";FIJA;EVA PERON Y CHAJA;SAN JOSE;-58.346486;-34.754034
SJO31;"Tipo: FIJA
Ubicacion: EVA PERON Y CAAGUAZU";FIJA;EVA PERON Y CAAGUAZU;SAN JOSE;-58.342858;-34.752066
SJO34;"Tipo: FIJA
Ubicacion: EL TALA Y CAAGUAZU";FIJA;EL TALA Y CAAGUAZU;SAN JOSE;-58.344355;-34.748376
SJO22;"Tipo: FIJA
Ubicacion: EVA PERON Y ALIPPI";FIJA;EVA PERON Y ALIPPI;SAN JOSE;-58.340229;-34.750655
SJO43b;"Tipo: FIJA
Ubicacion: ARMESTI Y CAGUAZU";FIJA;ARMESTI Y CAGUAZU;SAN JOSE;-58.34725;-34.740869
SJO43c;"Tipo: FIJA
Ubicacion: ARMESTI Y CAGUAZU";FIJA;ARMESTI Y CAGUAZU;SAN JOSE;-58.347126;-34.740817
TEM78b;"Tipo: FIJA
Ubicacion: REVOLUCION DE TEMPERLEY Y ANCHORENA";FIJA;REVOLUCION DE TEMPERLEY Y ANCHORENA;SAN JOSE;-58.36907;-34.759648
TEM79b;"Tipo: FIJA
Ubicacion: AV. REP. ARGENTINA Y 30 DE SEPTIEMBRE";FIJA;AV. REP. ARGENTINA Y 30 DE SEPTIEMBRE;SAN JOSE;-58.3626326;-34.7731619
SJO57;"Tipo: FIJA
Ubicacion: BAPRO CAAGUAZU Y CASUARINAS";FIJA;BAPRO CAAGUAZU Y CASUARINAS;SAN JOSE;-58.345607;-34.74531
SJO61;;;Avenida Eva Perón & Mahatma Gandhi;SAN JOSE;-58.3703984;-34.7656983
SJO59;;;El Tala & Monroe;SAN JOSE;-58.3529456;-34.7520414
SJO62;;;CAGUAZU ;SAN JOSE;-58.34464;-34.7476355
TEM16C;Coronel Pringles & Avenida Meeks;;;TEMPERLEY;-58.3981746;-34.7687659
TEM 82B;Pichincha & Coronel Suárez;;;TEMPERLEY;-58.3994429;-34.7784414
TEM53B;J. M. Fernández & España;;;TEMPERLEY;-58.4002647;-34.7711275
TEM76B;Lavalle & Carlos Guido Spano;;;TEMPERLEY;-58.4018143;-34.7733648
TEM84;Pichincha & Carlos Guido Spano;;;TEMPERLEY;-58.4040704;-34.781563
TEM75B;TEM75B;;;TEMPERLEY;-58.4030027;-34.7726139
TEM83B;Mariño & Coronel Suárez;;;TEMPERLEY;-58.3983281;-34.7798078
TEM54B;TEM54B;;;TEMPERLEY;-58.401805;-34.7719695
TEM80/80A;TEM80A;FIJA;PICHINCHA Y BRANSEND;TEMPERLEY;-58.4006434;-34.779084
TEM83;Mariño & Coronel Suárez;;;TEMPERLEY;-58.398363;-34.7797703
TEM81A;Dorrego & Calle Avellaneda;;;TEMPERLEY;-58.4040753;-34.7773839
TEM83A;Mariño & Coronel Suárez;;;TEMPERLEY;-58.3983818;-34.7798133
TEM81B;Dorrego & Calle Avellaneda;;;TEMPERLEY;-58.4039814;-34.7773966
LMC48;"Tipo: DOMO
Ubicacion: H. YRIGOYEN Y BRANDSEN";DOMO;H. YRIGOYEN Y BRANDSEN;TEMPERLEY;-58.404981;-34.773556
LMC70;"Tipo: DOMO
Ubicacion: GARIBALDI Y FRIAS";DOMO;GARIBALDI Y FRIAS;TEMPERLEY;-58.423191;-34.780966
LMC72;"Tipo: DOMO
Ubicacion: ESPAÑA Y GARIBALDI";DOMO;ESPAÑA Y GARIBALDI;TEMPERLEY;-58.40008;-34.768656
SJO05;"Tipo: DOMO
Ubicacion: EVA PERON Y GRAL GUEMES";DOMO;EVA PERON Y GRAL GUEMES;TEMPERLEY;-58.378204;-34.769925
SJO11;"Tipo: DOMO
Ubicacion: PASCO Y ANATOLE FANCE";DOMO;PASCO Y ANATOLE FANCE;TEMPERLEY;-58.371284;-34.766241
SJO24;"Tipo: DOMO
Ubicacion: LAUTARO Y GOLONDRINA";DOMO;LAUTARO Y GOLONDRINA;TEMPERLEY;-58.37461;-34.773221
SJO25;"Tipo: DOMO
Ubicacion: LAUTARO Y 30 DE SEPTIEMBRE";DOMO;LAUTARO Y 30 DE SEPTIEMBRE;TEMPERLEY;-58.371048;-34.777681
SJO26;"Tipo: DOMO
Ubicacion: 30 DE SEPTIEMBRE Y CABRED";DOMO;30 DE SEPTIEMBRE Y CABRED;TEMPERLEY;-58.376391;-34.780236
SJO27;"Tipo: DOMO
Ubicacion: ALLEMANDRI     Y ZEBALLOS";DOMO;ALLEMANDRI     Y ZEBALLOS;TEMPERLEY;-58.378504;-34.765818
TEM01;"Tipo: DOMO
Ubicacion: EVA PERON Y ALTE BROWN";DOMO;EVA PERON Y ALTE BROWN;TEMPERLEY;-58.391492;-34.777041
TEM02;"Tipo: DOMO
Ubicacion: 9 DE JULIO T BRANDSEN";DOMO;9 DE JULIO T BRANDSEN;TEMPERLEY;-58.399104;-34.781135
TEM03;"Tipo: DOMO
Ubicacion: EVA PERON T P. OBLIGADO";DOMO;EVA PERON T P. OBLIGADO;TEMPERLEY;-58.393611;-34.778377
TEM05;"Tipo: DOMO
Ubicacion: 25 DE MAYO 300";DOMO;25 DE MAYO 300;TEMPERLEY;-58.401218;-34.778421
TEM07;"Tipo: DOMO
Ubicacion: FERNANDEZ Y SOLER";DOMO;FERNANDEZ Y SOLER;TEMPERLEY;-58.409251;-34.776632
TEM10;"Tipo: DOMO
Ubicacion: GARIBALDI Y HUERGO ( ESCUELA 6)";DOMO;GARIBALDI Y HUERGO ( ESCUELA 6);TEMPERLEY;-58.41493;-34.77664
TEM15;"Tipo: DOMO
Ubicacion: MEEKS Y GARIBALDI";DOMO;MEEKS Y GARIBALDI;TEMPERLEY;-58.398267;-34.767607
TEM16;"Tipo: DOMO
Ubicacion: MEEKS Y PRINGLES";DOMO;MEEKS Y PRINGLES;TEMPERLEY;-58.398144;-34.768775
TEM17;"Tipo: DOMO
Ubicacion: MEEKS Y AVELLANEDA   ( AUD SUR)";DOMO;MEEKS Y AVELLANEDA   ( AUD SUR);TEMPERLEY;-58.39755;-34.774425
TEM19;"Tipo: DOMO
Ubicacion: MEEKS Y MORENO";DOMO;MEEKS Y MORENO;TEMPERLEY;-58.397119;-34.778214
